City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,port alfred,-33.5906,26.891,17.88,86,56,0.45,ZA,1702227660
185,vorkuta,67.5,64.0,-25.52,100,94,2.56,RU,1702227861
186,palikir - national government center,6.9248,158.1611,27.5,70,86,6.18,FM,1702227861
187,portland,45.5234,-122.6762,11.45,96,100,5.14,US,1702227345
188,fuxin,42.0156,121.6589,-10.78,34,99,5.19,CN,1702227861
189,queenstown,-31.8976,26.8753,11.48,89,100,3.14,ZA,1702227757
190,talnakh,69.4865,88.3972,-29.33,100,100,4.55,RU,1702227647
191,borzya,50.3833,116.5167,-33.52,100,16,0.16,RU,1702227862
192,chalon-sur-saone,46.7833,4.85,11.23,82,100,5.19,FR,1702227862
193,mogok,22.9167,96.5,12.91,97,4,0.72,MM,1702227862
194,ola,59.5833,151.2833,-2.14,89,100,5.32,RU,1702227778
195,barah,13.7,30.3667,26.14,12,56,4.08,SD,1702227665
196,nova xavantina,-14.6667,-52.35,39.39,22,44,2.15,BR,1702227816
197,shwebo,22.5667,95.7,20.35,87,0,2.72,MM,1702227863
198,borogontsy,62.6683,131.1683,-33.09,94,100,3.54,RU,1702227863
199,young,-32.6833,-57.6333,28.23,37,2,3.95,UY,1702227863
200,dimapur,25.9,93.7333,16.28,94,2,0.59,IN,1702227864
201,isla vista,34.4133,-119.861,24.06,37,0,0.0,US,1702227864
202,shakawe,-18.3667,21.85,22.53,76,100,3.7,BW,1702227864
203,keflavik,64.0049,-22.5624,1.24,80,75,1.54,IS,1702227595
204,colonia,50.9333,6.95,11.05,70,75,5.66,DE,1702227641
205,sola,-13.8833,167.55,26.31,79,100,8.5,VU,1702227864
206,saipan,15.1355,145.701,27.75,78,46,7.07,MP,1702227653
207,ishqoshim,36.7248,71.6133,-2.63,25,100,1.54,TJ,1702227865
208,crane,31.3974,-102.3501,7.07,33,0,3.8,US,1702227792
209,santa terezinha,-29.9002,-50.0904,21.08,87,99,8.41,BR,1702227865
210,qaqortoq,60.7167,-46.0333,-7.33,73,91,1.82,GL,1702227734
211,ivanava,52.1451,25.5365,-0.97,91,100,4.09,BY,1702227865
212,ballina,-28.8667,153.5667,23.37,60,98,2.15,AU,1702227722
213,birao,10.2849,22.7882,28.4,19,86,1.67,CF,1702227866
214,takab,36.4009,47.1133,4.66,69,4,2.57,IR,1702227866
215,tromso,69.6496,18.957,-2.99,63,40,7.72,NO,1702227556
216,ginir,7.1333,40.7,15.7,49,32,0.74,ET,1702227750
